coin_name,current_price_usd,24h_high_usd,24h_low_usd,24h_trade_volume_usd,market_cap_usd,market_change_percentage_24h,market_rank,circulating_supply,total_supply,last_updated,retrieval_time,rolling_average,predicted_price,ds
Ripple,0.537792,0.551415,0.515148,1344616325,28459399317,3.36604,5,52841868447,99988501123,8/20/2023 16:04:52,8/20/2023 16:05:22,,,
Bitcoin,26075,26248,26024,7610129624,507558566477,-0.40394,1,19463025,21000000,8/20/2023 16:04:53,8/20/2023 16:05:43,,,
Ripple,0.537792,0.551415,0.515148,1344616325,28459399317,3.36604,5,52841868447,99988501123,8/20/2023 16:04:52,8/20/2023 16:05:47,,,
Bitcoin,26109,26248,26024,9102709313,507558566477,-0.40394,1,19463025,21000000,8/20/2023 16:05:55,8/20/2023 16:06:34,,,
Ethereum,1669.93,1692.84,1663.28,8377071532,200722725617,-0.61017,2,120211597,120211597,8/20/2023 16:06:04,8/20/2023 16:06:35,,,
Ripple,0.538886,0.551415,0.515148,1347899811,28459399317,3.36604,5,52841868447,99988501123,8/20/2023 16:05:46,8/20/2023 16:06:38,,,
Bitcoin,26109,26248,26024,9102709313,507558566477,-0.40394,1,19463025,21000000,8/20/2023 16:05:55,8/20/2023 16:06:59,,,
Ethereum,1669.93,1692.84,1663.28,8377071532,200722725617,-0.61017,2,120211597,120211597,8/20/2023 16:06:04,8/20/2023 16:07:00,,,
Litecoin,64.45,65.1,63.64,417388912,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:06:28,8/20/2023 16:07:02,,,
Litecoin,64.43,65.1,63.64,417511358,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:07:30,8/20/2023 16:07:58,,,
Bitcoin,26063,26248,26024,9194760702,507558566477,-0.40394,1,19463025,21000000,8/20/2023 16:07:48,8/20/2023 16:08:49,,,
Ethereum,1669.18,1692.84,1663.28,8346715110,200722725617,-0.61017,2,120211597,120211597,8/20/2023 16:08:06,8/20/2023 16:08:50,,,
Litecoin,64.4,65.1,63.64,417088723,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:08:32,8/20/2023 16:09:18,,,
Litecoin,64.41,65.1,63.64,415919282,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:09:34,8/20/2023 16:10:09,,,
Litecoin,64.41,65.1,63.64,415919282,4740910384,-0.13782,16,73562301.98,84000000,8/20/2023 16:09:34,8/20/2023 16:10:34,,,
Ripple,0.538294,0.551415,0.515148,1339487959,28459399317,3.36604,5,52841868447,99988501123,8/20/2023 16:09:52,8/20/2023 16:10:35,,,
Bitcoin,26072,26248,26024,7232767362,507558566477,-0.40394,1,19463025,21000000,8/20/2023 16:09:52,8/20/2023 16:11:22,,,
Bitcoin,26068,26248,26024,7642852571,507372863974,-0.28396,1,19463025,21000000,8/20/2023 16:11:55,8/20/2023 16:12:19,,,
Ethereum,1668.73,1692.84,1663.28,8002974662,200656731195,-0.66251,2,120211597,120211597,8/20/2023 16:12:12,8/20/2023 16:12:20,,,
Bitcoin,26068,26248,26024,7642852571,507372863974,-0.28396,1,19463025,21000000,8/20/2023 16:11:55,8/20/2023 16:12:45,,,
Bitcoin,26063,26248,26024,6863208352,507372863974,-0.28396,1,19463025,21000000,8/20/2023 16:12:57,8/20/2023 16:13:09,,,
Bitcoin,26063,26248,26024,6863208352,507372863974,-0.28396,1,19463025,21000000,8/20/2023 16:12:57,8/20/2023 16:13:57,,,
Litecoin,64.38,65.1,63.64,416191585,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:13:42,8/20/2023 16:14:23,,,
Ripple,0.538091,0.551415,0.515148,1331721037,28458205284,3.77147,5,52841868447,99988501123,8/20/2023 16:13:58,8/20/2023 16:14:24,,,
Ethereum,1668.55,1692.84,1663.28,7995767209,200656731195,-0.66251,2,120211597,120211597,8/20/2023 16:14:05,8/20/2023 16:14:46,,,
Ethereum,1668.51,1692.84,1663.28,7990700218,200656731195,-0.66251,2,120211597,120211597,8/20/2023 16:15:07,8/20/2023 16:15:35,,,
Ripple,0.538013,0.551415,0.515148,1330373756,28458205284,3.77147,5,52841868447,99988501123,8/20/2023 16:16:00,8/20/2023 16:17:23,,,
Ethereum,1668.52,1692.84,1663.28,7999007537,200656731195,-0.66251,2,120211597,120211597,8/20/2023 16:17:10,8/20/2023 16:17:46,,,
Litecoin,64.37,65.1,63.64,415630881,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:17:47,8/20/2023 16:18:11,,,
Ripple,0.53764,0.551415,0.515148,1330152267,28458205284,3.77147,5,52841868447,99988501123,8/20/2023 16:17:53,8/20/2023 16:18:40,,,
Ripple,0.537694,0.551415,0.515148,1329184013,28458205284,3.77147,5,52841868447,99988501123,8/20/2023 16:18:56,8/20/2023 16:19:07,,,
Bitcoin,26063,26248,26024,9103413637,507372863974,-0.28396,1,19463025,21000000,8/20/2023 16:18:56,8/20/2023 16:19:28,,,
Litecoin,64.39,65.1,63.64,415567862,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:18:48,8/20/2023 16:19:31,,,
Litecoin,64.4,65.1,63.64,415563557,4738108482,-0.03107,16,73562339.48,84000000,8/20/2023 16:19:50,8/20/2023 16:20:25,,,
